state,population_estimates,population_estimates_base,population_%_change,persons_under_5_years_%,persons_under_18_years_%,persons_65_years_and_over_%_,female_persons_%_,white_alone_%,black_or_african_american_alone_%,american_indian_and_alaska_native_alone_%,asian_alone_%,native_hawaiian_and_other_pacific_islander_alone_%,two_or_more_races_%,hispanic_or_latino_%,white_alone_not_hispanic_or_latino_%,housing_units_,building_permits,month,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
Alabama,4863300.0,4780131.0,1.7,6.0,22.6,16.1,51.6,69.3,26.8,0.7,1.4,0.1,1.6,4.2,65.8,2230185.0,15001.0,2016-07,27765.0,0.0,10132.0,7392.0,538.0,465,0.0,5.0,3.0,0.0,1457.0,1151.0,3.0,0.0,0.0,0.0,,,9.0,5.0,0.0,1.0,1.0,0.0,48927
Alaska,741894.0,710249.0,4.5,7.3,25.2,10.4,47.7,66.1,3.8,15.2,6.3,1.3,7.3,7.0,61.2,310658.0,1503.0,2016-07,215.0,0.0,2898.0,2816.0,239.0,165,0.0,7.0,10.0,0.0,200.0,178.0,4.0,20.0,16.0,0.0,,,7.0,17.0,0.0,1.0,0.0,0.0,6793
Arizona,6931071.0,6392301.0,8.4,6.3,23.5,16.9,50.3,83.3,4.9,5.4,3.4,0.3,2.8,30.9,55.5,2961003.0,35578.0,2016-07,7863.0,308.0,13693.0,8643.0,1283.0,642,0.0,5.0,10.0,0.0,1272.0,631.0,7.0,103.0,13.0,0.0,,,13.0,9.0,0.0,0.0,1.0,0.0,34496
Arkansas,2988248.0,2916025.0,2.5,6.4,23.6,16.3,50.9,79.4,15.7,1.0,1.6,0.3,2.0,7.3,72.9,1354762.0,9474.0,2016-07,4116.0,677.0,6323.0,5053.0,325.0,367,2.0,6.0,14.0,0.0,1001.0,1476.0,4.0,0.0,0.0,0.0,,,7.0,5.0,1.0,0.0,1.0,0.0,19378
California,39250017.0,37254522.0,5.4,6.3,23.2,13.6,50.3,72.7,6.5,1.7,14.8,0.5,3.8,38.9,37.7,14060525.0,102350.0,2016-07,77962.0,0.0,46361.0,47594.0,17297.0,0,0.0,0.0,0.0,0.0,492.0,504.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,190218
Colorado,5540545.0,5029324.0,10.2,6.1,22.8,13.4,49.7,87.5,4.5,1.6,3.3,0.2,3.0,21.3,68.6,2339118.0,38974.0,2016-07,6372.0,0.0,18765.0,15176.0,1505.0,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,31.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,43094
Connecticut,3576452.0,3574114.0,0.1,5.2,21.1,16.1,51.2,80.6,11.8,0.5,4.7,0.1,2.3,15.7,67.7,1499116.0,5504.0,2016-07,14156.0,0.0,11328.0,4015.0,252.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29755
Delaware,952065.0,897936.0,6.0,5.8,21.5,17.5,51.6,70.1,22.6,0.6,4.0,0.1,2.6,9.2,62.9,426149.0,5804.0,2016-07,755.0,0.0,1859.0,1569.0,140.0,74,0.0,0.0,1.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,,,45.0,22.0,5.0,1.0,0.0,0.0,4494
Florida,20612439.0,18804592.0,9.6,5.5,20.1,19.9,51.1,77.6,16.8,0.5,2.9,0.1,2.1,24.9,54.9,9301642.0,116240.0,2016-07,28106.0,0.0,57902.0,28000.0,4504.0,2324,12.0,8.0,2.0,0.0,2984.0,1198.0,9.0,99.0,7.0,1.0,,,39.0,12.0,1.0,0.0,0.0,0.0,125208
Georgia,10310371.0,9688680.0,6.4,6.4,24.4,13.1,51.3,61.2,32.0,0.5,4.1,0.1,2.1,9.4,53.4,4218776.0,51675.0,2016-07,20555.0,0.0,15342.0,8597.0,635.0,632,0.0,12.0,8.0,0.0,1999.0,1392.0,4.0,0.0,0.0,0.0,,,3.0,3.0,1.0,0.0,0.0,0.0,49183
Hawaii,1428557.0,1360301.0,5.0,6.4,21.6,17.1,49.8,25.8,2.2,0.4,37.7,10.2,23.7,10.4,22.1,537114.0,3369.0,2016-07,1563.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1565
Idaho,1683140.0,1567650.0,7.4,6.8,26.0,15.1,49.9,93.3,0.8,1.8,1.5,0.2,2.4,12.3,82.4,700825.0,12165.0,2016-07,3606.0,6.0,3592.0,3576.0,247.0,203,0.0,3.0,3.0,0.0,353.0,537.0,4.0,15.0,2.0,0.0,,,2.0,4.0,0.0,0.0,1.0,0.0,12154
Illinois,12801539.0,12831574.0,0.2,6.0,22.9,14.6,50.9,77.2,14.7,0.6,5.5,0.1,1.9,17.0,61.7,5326970.0,22603.0,2016-07,125075.0,8969.0,21421.0,11881.0,0.0,881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,168227
Indiana,6633053.0,6484136.0,2.3,6.4,23.8,14.9,50.7,85.6,9.7,0.4,2.2,0.1,2.0,6.8,79.6,2854546.0,18713.0,2016-07,53844.0,0.0,19508.0,12191.0,1600.0,644,8.0,1.0,2.0,0.0,17.0,479.0,5.0,4.0,0.0,1.0,,,23.0,9.0,1.0,3.0,0.0,0.0,88340
Iowa,3134693.0,3046869.0,2.9,6.4,23.3,16.4,50.3,91.4,3.7,0.5,2.5,0.1,1.8,5.8,86.2,1380162.0,14317.0,2016-07,9391.0,11.0,186.0,2227.0,27.0,1,1.0,0.0,0.0,0.0,2.0,61.0,0.0,17.0,9.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,11937
Kansas,2907289.0,2853129.0,1.9,6.7,24.6,15.0,50.2,86.6,6.2,1.2,3.0,0.1,2.9,11.6,76.3,1259864.0,9807.0,2016-07,1320.0,3.0,6075.0,4942.0,462.0,329,2.0,6.0,1.0,0.0,610.0,365.0,1.0,7.0,5.0,1.0,,,3.0,5.0,0.0,1.0,2.0,0.0,14140
Kentucky,4436974.0,4339344.0,2.2,6.2,22.8,15.6,50.7,88.0,8.3,0.3,1.5,0.1,1.9,3.5,85.0,1965556.0,12714.0,2016-07,342858.0,0.0,9378.0,6615.0,321.0,534,0.0,7.0,18.0,2.0,1748.0,1554.0,20.0,4.0,3.0,0.0,,,13.0,8.0,2.0,0.0,0.0,0.0,363085
Louisiana,4681666.0,4533479.0,3.3,6.6,23.8,14.4,51.1,63.2,32.6,0.8,1.8,0.1,1.6,5.0,59.0,2036975.0,14503.0,2016-07,2595.0,0.0,21637.0,12252.0,1453.0,1031,0.0,8.0,9.0,0.0,1128.0,936.0,3.0,0.0,0.0,0.0,,,7.0,2.0,0.0,1.0,0.0,1.0,41063
Maine,1331479.0,1328364.0,0.2,4.9,19.1,19.4,51.0,94.8,1.5,0.7,1.2,0.0,1.7,1.6,93.5,730705.0,4010.0,2016-07,540.0,0.0,3426.0,3026.0,266.0,166,0.0,1.0,1.0,0.0,120.0,133.0,0.0,9.0,10.0,1.0,,,0.0,2.0,0.0,0.0,1.0,0.0,7702
Maryland,6016447.0,5773786.0,4.2,6.1,22.4,14.6,51.6,59.3,30.7,0.6,6.6,0.1,2.8,9.8,51.5,2447127.0,17044.0,2016-07,2383.0,0.0,3973.0,5505.0,105.0,35,0.0,1.0,1.0,0.0,65.0,113.0,0.0,31.0,8.0,0.0,,,2.0,6.0,0.0,0.0,0.0,0.0,12228
Massachusetts,6811779.0,6547813.0,4.0,5.3,20.2,15.8,51.5,81.8,8.6,0.5,6.7,0.1,2.3,11.5,73.0,2858026.0,16288.0,2016-07,7091.0,5.0,6257.0,5108.0,1498.0,439,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,,,28.0,32.0,10.0,0.0,3.0,0.0,20480
Michigan,9928300.0,9884129.0,0.4,5.8,22.1,16.2,50.8,79.6,14.2,0.7,3.1,0.0,2.4,5.0,75.4,4560055.0,20408.0,2016-07,15869.0,3753.0,11308.0,8095.0,510.0,239,0.0,0.0,0.0,0.0,14.0,275.0,0.0,62.0,12.0,1.0,,,2.0,1.0,1.0,0.0,0.0,0.0,40142
Minnesota,5519952.0,5303924.0,4.1,6.4,23.3,15.1,50.2,85.0,6.2,1.3,4.9,0.1,2.4,5.2,80.6,2409935.0,21449.0,2016-07,22422.0,0.0,9743.0,9207.0,913.0,373,0.0,0.0,1.0,0.0,235.0,444.0,4.0,9.0,3.0,0.0,,,7.0,6.0,1.0,0.0,0.0,0.0,43368
Mississippi,2988726.0,2968103.0,0.7,6.3,24.1,15.1,51.5,59.3,37.7,0.6,1.1,0.1,1.2,3.1,56.9,1307441.0,6886.0,2016-07,1913.0,0.0,10425.0,6125.0,436.0,459,3.0,22.0,26.0,0.0,1411.0,1076.0,2.0,0.0,0.0,0.0,,,7.0,1.0,0.0,0.0,1.0,0.0,21907
Missouri,6093000.0,5988928.0,1.7,6.1,22.8,16.1,50.9,83.2,11.8,0.6,2.0,0.1,2.2,4.1,79.7,2760084.0,18997.0,2016-07,6903.0,0.0,20791.0,13575.0,1698.0,981,0.0,12.0,8.0,0.0,1321.0,1127.0,7.0,113.0,25.0,1.0,,,33.0,31.0,7.0,1.0,3.0,0.0,46637
Montana,1042520.0,989414.0,5.4,6.0,21.8,17.7,49.7,89.2,0.6,6.6,0.8,0.1,2.7,3.6,86.5,497756.0,4781.0,2016-07,1356.0,0.0,2894.0,3882.0,218.0,194,25.0,5.0,4.0,1.0,476.0,794.0,0.0,10.0,1.0,1.0,,,1.0,3.0,1.0,0.0,3.0,0.0,9869
Nebraska,1907116.0,1826334.0,4.4,7.0,24.8,15.0,50.2,88.9,5.0,1.4,2.5,0.1,2.1,10.7,79.6,827156.0,8078.0,2016-07,3629.0,65.0,93.0,1529.0,27.0,5,0.0,0.0,0.0,0.0,8.0,65.0,0.0,6.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5429
Nevada,2940058.0,2700691.0,8.9,6.3,23.0,15.0,49.9,75.1,9.6,1.6,8.7,0.8,4.2,28.5,49.9,1221698.0,17952.0,2016-07,2497.0,0.0,5194.0,3006.0,328.0,308,0.0,0.0,0.0,0.0,312.0,140.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11785
New Hampshire,1334795.0,1316461.0,1.4,4.8,19.5,17.0,50.5,93.8,1.5,0.3,2.7,0.1,1.7,3.5,90.8,625307.0,3796.0,2016-07,3882.0,0.0,5200.0,3716.0,181.0,3,1.0,0.0,2.0,0.0,0.0,11.0,0.0,62.0,1.0,0.0,,,3.0,5.0,0.0,0.0,1.0,0.0,13068
New Jersey,8944469.0,8791953.0,1.7,5.8,22.2,15.3,51.2,72.4,15.0,0.6,9.8,0.1,2.2,20.0,55.8,3604409.0,26793.0,2016-07,0.0,0.0,5708.0,4155.0,211.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10074
New Mexico,2081015.0,2059198.0,1.0999999999999999,6.2,23.599999999999998,16.5,50.5,82.6,2.5,10.6,1.7000000000000002,0.2,2.5,48.5,38.1,917568.0,4863.0,2016-07,1103.0,0.0,5380.0,3966.0,475.0,300,0.0,2.0,2.0,0.0,483.0,462.0,1.0,36.0,0.0,0.0,,,4.0,5.0,0.0,0.0,0.0,0.0,12219
New York,19745289.0,19378110.0,1.9,5.8999999999999995,21.2,15.4,51.4,69.89999999999999,17.7,1.0,8.9,0.1,2.5,19.0,55.800000000000004,8231687.0,33711.0,2016-07,3738.0,0.0,10900.0,13073.0,1131.0,204,0.0,1.0,0.0,0.0,16.0,10.0,5.0,0.0,1.0,0.0,,,265.0,149.0,12.0,4.0,3.0,1.0,29513
North Carolina,10146788.0,9535688.0,6.4,6.0,22.7,15.5,51.4,71.0,22.2,1.6,2.9000000000000004,0.1,2.1999999999999997,9.2,63.5,4540498.0,60550.0,2016-07,25408.0,0.0,1157.0,12487.0,1025.0,215,0.0,11.0,8.0,1.0,1860.0,1923.0,10.0,0.0,0.0,0.0,,,9.0,7.0,1.0,0.0,1.0,0.0,44123
North Dakota,757952.0,672591.0,12.7,7.3,23.3,14.499999999999998,48.699999999999996,87.9,2.9000000000000004,5.5,1.5,0.1,2.1,3.5999999999999996,85.0,368624.0,3981.0,2016-07,1305.0,0.0,1333.0,2457.0,116.0,64,0.0,0.0,3.0,0.0,67.0,118.0,2.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,0.0,0.0,5470
Ohio,11614373.0,11536727.0,0.7000000000000001,6.0,22.5,16.2,51.0,82.5,12.8,0.3,2.1999999999999997,0.1,2.1999999999999997,3.6999999999999997,79.5,5164361.0,22816.0,2016-07,11762.0,55.0,27876.0,17720.0,2166.0,1232,0.0,8.0,1.0,0.0,1445.0,796.0,6.0,20.0,2.0,0.0,,,44.0,12.0,1.0,1.0,1.0,0.0,63148
Oklahoma,3923561.0,3751615.0,4.6,6.800000000000001,24.5,15.0,50.5,74.6,7.8,9.2,2.1999999999999997,0.2,6.1,10.299999999999999,66.2,1721045.0,12092.0,2016-07,0.0,0.0,11750.0,8792.0,1139.0,752,0.0,17.0,10.0,1.0,1826.0,1585.0,8.0,0.0,0.0,0.0,,,33.0,25.0,6.0,2.0,0.0,0.0,25946
Oregon,4093465.0,3831072.0,6.800000000000001,5.800000000000001,21.2,16.8,50.5,87.4,2.1,1.7999999999999998,4.5,0.4,3.8,12.8,76.4,1732786.0,19586.0,2016-07,21.0,0.0,14284.0,10507.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24813
Pennsylvania,12784227.0,12702857.0,0.6,5.6000000000000005,20.9,17.4,51.0,82.39999999999999,11.799999999999999,0.4,3.5000000000000004,0.1,1.9,7.000000000000001,77.0,5612002.0,23303.0,2016-07,26819.0,0.0,46843.0,11793.0,19.0,0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,97.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,86137
Rhode Island,1056426.0,1052940.0,0.3,5.2,19.7,16.5,51.4,84.39999999999999,8.1,1.0,3.5999999999999996,0.2,2.7,14.899999999999999,73.3,462589.0,1226.0,2016-07,0.0,0.0,1133.0,951.0,101.0,155,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,,,11.0,2.0,3.0,0.0,0.0,0.0,2368
South Carolina,4961119.0,4625410.0,7.3,5.8999999999999995,22.1,16.7,51.5,68.5,27.500000000000004,0.5,1.6,0.1,1.7999999999999998,5.5,63.9,2236153.0,32165.0,2016-07,14025.0,0.0,9967.0,5880.0,707.0,361,5.0,8.0,4.0,0.0,1063.0,648.0,4.0,43.0,1.0,0.0,,,11.0,1.0,1.0,1.0,0.0,0.0,32730
South Dakota,865454.0,814195.0,6.3,7.1,24.6,16.0,49.6,85.2,2.0,9.0,1.5,0.1,2.3,3.6999999999999997,82.5,383838.0,5686.0,2016-07,1179.0,0.0,2490.0,3004.0,277.0,135,7.0,0.0,1.0,0.0,124.0,183.0,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,7406
Tennessee,6651194.0,6346298.0,4.8,6.1,22.6,15.7,51.2,78.7,17.1,0.4,1.7999999999999998,0.1,1.9,5.2,74.2,2919671.0,36157.0,2016-07,1915.0,11933.0,26276.0,16118.0,0.0,1374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,57653
Texas,27862596.0,25146100.0,10.8,7.2,26.2,12.0,50.4,79.4,12.6,1.0,4.8,0.1,1.9,39.1,42.6,10753629.0,165853.0,2016-07,24634.0,0.0,50499.0,34266.0,4046.0,2698,0.0,50.0,19.0,2.0,6571.0,4219.0,33.0,67.0,2.0,1.0,,,45.0,49.0,3.0,3.0,0.0,0.0,127207
Utah,3051217.0,2763888.0,10.4,8.3,30.2,10.5,49.7,91.1,1.4,1.6,2.5,1.0,2.5,13.8,78.8,1054164.0,22662.0,2016-07,9754.0,19.0,3381.0,3328.0,276.0,102,0.0,0.0,0.0,0.0,238.0,313.0,0.0,118.0,40.0,39.0,,,0.0,0.0,0.0,0.0,0.0,0.0,17608
Vermont,624594.0,625741.0,0.2,4.9,19.0,18.1,50.6,94.6,1.3,0.4,1.8,0.0,1.9,1.9,93.1,329525.0,1771.0,2016-07,0.0,0.0,1293.0,1201.0,117.0,57,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,2674
Virginia,8411808.0,8001041.0,5.1,6.1,22.2,14.6,50.8,70.0,19.8,0.5,6.6,0.1,2.9,9.1,62.4,3491054.0,31132.0,2016-07,1102.0,0.0,24671.0,16731.0,1064.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,43574
Washington,7288000.0,6724545.0,8.4,6.2,22.4,14.8,50.0,80.0,4.1,1.9,8.6,0.8,4.6,12.4,69.5,3025685.0,44077.0,2016-07,14111.0,2.0,15652.0,11536.0,2118.0,653,2.0,5.0,7.0,0.0,1290.0,1064.0,17.0,367.0,99.0,7.0,,,486.0,424.0,31.0,5.0,10.0,1.0,47887
West Virginia,1831102.0,1853011.0,1.2,5.5,20.5,18.8,50.5,93.6,3.6,0.2,0.8,0.0,1.7,1.5,92.3,886640.0,2544.0,2016-07,1992.0,0.0,6417.0,5134.0,313.0,403,8.0,6.0,7.0,0.0,1169.0,1313.0,0.0,9.0,4.0,0.0,,,10.0,5.0,1.0,0.0,0.0,0.0,16791
Wisconsin,5778708.0,5687289.0,1.6,5.8,22.3,16.1,50.3,87.5,6.6,1.1,2.8,0.1,1.9,6.7,81.7,2668444.0,19274.0,2016-07,14505.0,0.0,13182.0,9870.0,847.0,38,0.0,0.0,2.0,1.0,131.0,260.0,6.0,24.0,27.0,4.0,,,11.0,8.0,3.0,0.0,3.0,0.0,38922
Wyoming,585501.0,563767.0,3.9,6.5,23.7,15.0,48.9,92.8,1.3,2.7,1.0,0.1,2.1,10.0,84.1,270600.0,1727.0,2016-07,597.0,0.0,1619.0,1769.0,131.0,99,2.0,0.0,5.0,0.0,157.0,205.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,4585
